Overall score	Negative	Neutral	Positive
-0.7313	0.17	0.83	0.0
-0.3818	0.118	0.882	0.0
-0.7184	0.189	0.811	0.0
-0.9168	0.292	0.671	0.037
0.7479	0.0	0.813	0.187
-0.6261	0.204	0.719	0.077
0.5267	0.0	0.896	0.104
-0.296	0.074	0.886	0.04
0.0	0.0	1.0	0.0
-0.6705	0.186	0.814	0.0
-0.5719	0.194	0.751	0.056
0.1779	0.116	0.751	0.133
-0.7003	0.175	0.825	0.0
-0.7964	0.265	0.735	0.0
-0.802	0.18	0.82	0.0
-0.2168	0.134	0.755	0.11
0.3964	0.104	0.744	0.152
-0.5621	0.146	0.854	0.0
0.0	0.0	1.0	0.0
0.1531	0.155	0.673	0.173
-0.0953	0.113	0.812	0.076
0.7783	0.056	0.692	0.252
0.0	0.07	0.859	0.07
0.296	0.0	0.951	0.049
-0.7447	0.202	0.798	0.0
-0.8176	0.267	0.668	0.064
-0.4404	0.202	0.672	0.127
0.3919	0.0	0.892	0.108
-0.7096	0.138	0.862	0.0
0.6563	0.116	0.691	0.193
-0.6131	0.154	0.846	0.0
0.4497	0.0	0.896	0.104
0.3612	0.08	0.767	0.153
-0.0516	0.046	0.954	0.0
-0.8316	0.332	0.629	0.039
-0.0644	0.137	0.768	0.095
-0.7351	0.25	0.702	0.048
0.0	0.0	1.0	0.0
-0.4767	0.186	0.757	0.057
-0.2023	0.107	0.833	0.06
0.128	0.067	0.851	0.082
0.3335	0.118	0.733	0.149
0.0	0.0	1.0	0.0
0.34	0.0	0.93	0.07
0.5267	0.11	0.706	0.184
-0.7096	0.144	0.856	0.0
0.4019	0.103	0.745	0.152
-0.296	0.068	0.932	0.0
-0.296	0.066	0.934	0.0
0.3265	0.061	0.837	0.102
-0.2212	0.074	0.882	0.044
-0.8979	0.332	0.639	0.028
0.3182	0.032	0.907	0.061
-0.7096	0.177	0.823	0.0
0.128	0.067	0.855	0.079
-0.0516	0.034	0.966	0.0
0.8834	0.025	0.734	0.241
0.25	0.0	0.926	0.074
-0.7269	0.246	0.717	0.038
0.0258	0.0	0.961	0.039
0.34	0.0	0.918	0.082
-0.1027	0.103	0.776	0.121
0.2406	0.0	0.92	0.08
0.0	0.0	1.0	0.0
-0.6901	0.143	0.857	0.0
0.3612	0.0	0.907	0.093
0.0	0.0	1.0	0.0
0.6369	0.088	0.727	0.185
0.5423	0.039	0.841	0.12
0.0258	0.055	0.887	0.058
-0.1744	0.124	0.812	0.064
0.1655	0.0	0.946	0.054
-0.296	0.124	0.816	0.06
-0.1887	0.071	0.901	0.028
0.0	0.0	1.0	0.0
-0.2023	0.067	0.933	0.0
-0.9036	0.353	0.544	0.103
0.8345	0.071	0.671	0.257
0.0	0.0	1.0	0.0
-0.1531	0.091	0.909	0.0
0.743	0.058	0.752	0.19
0.0	0.0	1.0	0.0
-0.431	0.096	0.856	0.048
-0.7783	0.249	0.679	0.072
0.5719	0.076	0.762	0.162
-0.2144	0.06	0.94	0.0
-0.0516	0.03	0.97	0.0
-0.4215	0.083	0.917	0.0
-0.4767	0.132	0.868	0.0
0.128	0.085	0.816	0.1
0.4891	0.046	0.823	0.131
0.1793	0.118	0.744	0.138
0.4404	0.0	0.917	0.083
0.7003	0.0	0.823	0.177
0.1027	0.095	0.828	0.077
-0.7269	0.172	0.797	0.032
-0.6597	0.13	0.87	0.0
-0.5423	0.221	0.695	0.085
0.6124	0.101	0.728	0.171
0.1779	0.113	0.755	0.132
0.0772	0.0	0.961	0.039
